Geo Point;Geo Shape;FCsubtype;inspireId;beginLifes;F_CODE;ICC;EXS;FCO;GAW;LLE;NAMN1;NAMN2;NAMA1;NAMA2;NLN1;NLN2;RCO;RGC;RRA;RSD;RSU;TEN;TUC;Shape_Leng
51.64294316504908, -3.9374124510649082;"{""coordinates"": [[-3.940129000000184, 51.64140199999982], [-3.937557000000197, 51.64301549999984], [-3.9368915000002, 51.643433499999844], [-3.935845500000198, 51.64372149999982], [-3.934521000000188, 51.64408699999984]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:bbb6b368-6688-4509-8b13-17974da33a;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;9;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;4;1;1;1;45;0.0062810228
51.26508195173917, 0.6168509571312101;"{""coordinates"": [[0.6104, 51.26805949999985], [0.6169724999998041, 51.26476399999984], [0.623491499999801, 51.26255849999984]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:8b901443-263a-4853-bc13-beaee784d9;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;1;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;3;3;1;1;45;0.0142343956
51.589672524512345, 0.22479973294910002;"{""coordinates"": [[0.19164099999980502, 51.57743649999983], [0.20502999999979502, 51.582302499999855], [0.22064199999979903, 51.58811599999984], [0.240747999999797, 51.59559649999983], [0.257929999999789, 51.60198599999984]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:b9b84162-92a3-4667-93da-3e34060ae5;2015-10-26T07:00:00+07:00;AN010;GB;28;2;144;1;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;3;1;1;1;45;0.07068915293
53.181794836977886, -0.435412649216572;"{""coordinates"": [[-0.436353500000195, 53.18376499999985], [-0.43521350000020204, 53.181493499999846], [-0.435180000000202, 53.18142549999985], [-0.434589000000187, 53.17977449999983]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:3247db79-8664-4b46-8d99-3ee005495e;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;9;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;4;1;1;1;45;0.0043709129
52.2737688519822, -1.6988436812105312;"{""coordinates"": [[-1.682295000000209, 52.28666399999983], [-1.684500500000183, 52.283675999999836], [-1.69432550000019, 52.27685099999985], [-1.712275500000203, 52.26466899999982], [-1.7151875000001842, 52.26068249999983]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:db1e6843-5406-4949-8a12-611f006435;2015-10-26T07:00:00+07:00;AN010;GB;28;3;144;1;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;4;1;1;2;45;0.042306913609999004
51.81810260205752, 0.66108788246603;"{""coordinates"": [[0.659924999999788, 51.81746449999983], [0.6614694999998111, 51.81831099999985], [0.6622494999998031, 51.81874299999984]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:ea8a72d4-8305-4d34-88ad-0acfaacde3;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;9;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;3;1;1;1;45;0.002652902809999
55.844980646608654, -4.270012551192991;"{""coordinates"": [[-4.269386500000195, 55.841398999999825], [-4.268939000000188, 55.84568499999983], [-4.272833500000189, 55.847234499999836]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:17ee246f-7c35-4d19-abea-db364d242e;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;1;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;3;1;1;2;45;0.00850072776
58.01178252445503, -4.382188911929883;"{""coordinates"": [[-4.364604000000185, 58.014475999999824], [-4.384200000000192, 58.01313099999984], [-4.387449500000201, 58.01253199999982], [-4.391916000000207, 58.00954299999984], [-4.397780500000181, 58.00417299999984]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:7720f7c5-9859-46ed-b2fb-27927e3d87;2015-10-26T07:00:00+07:00;AN010;GB;28;3;144;1;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;4;1;1;1;45;0.03627239389
53.805712094026916, -1.577335546290736;"{""coordinates"": [[-1.577685000000201, 53.804610499999825], [-1.577431000000189, 53.80541249999984], [-1.576985500000205, 53.80681349999983]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:f6bf6b9c-9ef6-43b6-b05f-4f624af11c;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;9;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;4;1;1;2;45;0.002311387229999
51.20711274999984, 0.06698324999979301;"{""coordinates"": [[0.066070499999796, 51.20720799999984], [0.067895999999791, 51.207017499999836]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:65c43f9b-60f0-4b97-9779-bb2a918759;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;1;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;1;1;1;1;45;0.0018354129000000001
